"remember, tems doesn't export lat-lon correctly when you export to .tab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"remember, col names need to be correct, but order is not important",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Mobile,TIME,LONGITUDE,LATITUDE,SC_1,RSCP_1,EcIo_1,SC_2,RSCP_2,EcIo_2,SC_3,RSCP_3,EcIo_3,SC_4,RSCP_4,EcIo_4,SC_5,RSCP_5,EcIo_5,SC_6,RSCP_6,EcIo_6,SC_7,RSCP_7,EcIo_7,SC_8,RSCP_8,EcIo_8,SC_9,RSCP_9,EcIo_9,SC_10,RSCP_10,EcIo_10,SC_11,RSCP_11,EcIo_11,SC_12,RSCP_12,EcIo_12,SC_13,RSCP_13,EcIo_13,SC_14,RSCP_14,EcIo_14,SC_15,RSCP_15,EcIo_15,SC_16,RSCP_16,EcIo_16,SC_17,RSCP_17,EcIo_17,SC_18,RSCP_18,EcIo_18,SC_19,RSCP_19,EcIo_19,SC_20,RSCP_20,EcIo_20
,,3723,144.8726194,-37.80778468,206,-62.202,-3.202,214,-64.977,-5.977,382,-76.322,-17.322,36,-78.408,-19.408,366,-78.855,-19.855,304,-79.163,-20.163,240,-79.179,-20.179,28,-79.195,-20.195,440,-79.195,-20.195,326,-79.201,-20.201,416,-79.222,-20.222,56,-79.244,-20.244,92,-79.25,-20.25,410,-79.26,-20.26,26,-79.293,-20.293,192,-79.321,-20.321,316,-79.404,-20.404,336,-79.415,-20.415,356,-79.459,-20.459,266,-79.606,-20.606
,,2017,144.8973478,-37.79138057,408,-63.885,-2.885,400,-70.251,-9.251,388,-75.008,-14.008,392,-77.801,-16.801,340,-80.02,-19.02,478,-80.058,-19.058,334,-80.207,-19.207,110,-80.538,-19.538,68,-80.726,-19.726,466,-80.726,-19.726,378,-80.762,-19.762,106,-80.824,-19.824,152,-80.829,-19.829,296,-80.844,-19.844,154,-80.865,-19.865,494,-80.876,-19.876,56,-80.886,-19.886,502,-80.992,-19.992,474,-81.002,-20.002,286,-81.007,-20.007
,,1460,144.8296405,-37.79371408,450,-68.055,-5.055,324,-69.235,-6.235,316,-70.651,-7.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,701,144.9636637,-37.76619741,366,-60.309,-1.309,294,-70.587,-11.587,484,-77.577,-18.577,382,-77.861,-18.861,310,-78.011,-19.011,108,-78.154,-19.154,340,-78.217,-19.217,14,-78.527,-19.527,470,-78.563,-19.563,424,-78.72,-19.72,152,-78.762,-19.762,224,-78.839,-19.839,254,-78.839,-19.839,314,-79.039,-20.039,130,-79.087,-20.087,102,-79.12,-20.12,396,-79.211,-20.211,98,-79.304,-20.304,450,-79.365,-20.365,112,-79.437,-20.437
,,5233,144.9162806,-37.80204948,150,-54.401,-1.401,88,-64.692,-11.692,166,-66.585,-13.585,96,-67.883,-14.883,458,-71.833,-18.833,224,-71.861,-18.861,462,-72.246,-19.246,252,-72.7,-19.7,356,-72.829,-19.829,268,-72.992,-19.992,26,-73.093,-20.093,40,-73.13,-20.13,410,-73.13,-20.13,106,-73.136,-20.136,416,-73.228,-20.228,446,-73.31,-20.31,360,-73.359,-20.359,286,-73.415,-20.415,474,-73.415,-20.415,78,-73.487,-20.487
,,2501,144.9493876,-37.76055753,382,-63.747,-3.747,366,-65.881,-5.881,374,-72.267,-12.267,206,-74.668,-14.668,486,-79.077,-19.077,330,-79.553,-19.553,466,-79.944,-19.944,316,-80.114,-20.114,64,-80.141,-20.141,376,-80.141,-20.141,14,-80.173,-20.173,438,-80.173,-20.173,88,-80.179,-20.179,52,-80.233,-20.233,106,-80.282,-20.282,310,-80.288,-20.288,392,-80.332,-20.332,398,-80.332,-20.332,390,-80.348,-20.348,312,-80.381,-20.381
,,1812,144.8964569,-37.76580981,206,-76.406,-3.406,366,-79,-6,294,-89.274,-16.274,304,-92.793,-19.793,374,-92.881,-19.881,80,-92.912,-19.912,330,-92.928,-19.928,456,-93.093,-20.093,4,-93.184,-20.184,450,-93.266,-20.266,464,-93.271,-20.271,298,-93.409,-20.409,418,-93.476,-20.476,314,-93.499,-20.499,344,-93.504,-20.504,510,-93.521,-20.521,370,-93.527,-20.527,160,-93.555,-20.555,64,-93.583,-20.583,470,-93.589,-20.589
,,5703,144.8799604,-37.82630636,88,-72.216,-3.216,96,-75.416,-6.416,382,-85.498,-16.498,40,-87.373,-18.373,408,-88.049,-19.049,502,-88.251,-19.251,438,-88.403,-19.403,242,-88.593,-19.593,268,-88.96,-19.96,430,-88.986,-19.986,340,-89.093,-20.093,364,-89.098,-20.098,180,-89.152,-20.152,148,-89.163,-20.163,280,-89.163,-20.163,390,-89.179,-20.179,74,-89.19,-20.19,252,-89.293,-20.293,150,-89.332,-20.332,200,-89.332,-20.332
,,5366,144.846437,-37.78499725,88,-55.857,-2.857,96,-60.871,-7.871,382,-67.029,-14.029,80,-72.553,-19.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4824,144.974217,-37.79030271,150,-63.004,-1.004,166,-74.114,-12.114,158,-79.249,-17.249,88,-80.75,-18.75,142,-81.097,-19.097,268,-81.212,-19.212,20,-81.543,-19.543,16,-81.563,-19.563,134,-81.563,-19.563,438,-81.715,-19.715,194,-81.736,-19.736,152,-81.777,-19.777,286,-81.808,-19.808,114,-81.855,-19.855,64,-81.955,-19.955,434,-81.986,-19.986,230,-81.992,-19.992,96,-82.045,-20.045,510,-82.098,-20.098,68,-82.103,-20.103
,,3370,144.9122013,-37.83301668,206,-58.893,-0.893,382,-69.473,-11.473,496,-75.644,-17.644,334,-77.202,-19.202,318,-77.212,-19.212,450,-77.393,-19.393,78,-77.418,-19.418,294,-77.538,-19.538,344,-77.593,-19.593,386,-77.618,-19.618,230,-77.669,-19.669,86,-77.674,-19.674,218,-77.674,-19.674,264,-77.71,-19.71,166,-77.787,-19.787,84,-77.844,-19.844,56,-77.871,-19.871,504,-77.923,-19.923,316,-77.944,-19.944,102,-78.029,-20.029
,,5398,144.8214248,-37.81253432,88,-61.651,-0.651,76,-79.964,-18.964,50,-80.035,-19.035,502,-80.159,-19.159,102,-80.188,-19.188,374,-80.207,-19.207,268,-80.603,-19.603,280,-80.731,-19.731,152,-80.756,-19.756,96,-80.782,-19.782,478,-80.818,-19.818,12,-80.907,-19.907,488,-80.907,-19.907,258,-80.997,-19.997,132,-81.023,-20.023,58,-81.12,-20.12,48,-81.125,-20.125,144,-81.152,-20.152,356,-81.293,-20.293,238,-81.299,-20.299
,,4289,144.8429779,-37.77227342,434,-54.707,-0.707,442,-69.966,-15.966,90,-71.412,-17.412,270,-71.511,-17.511,408,-72.117,-18.117,310,-72.121,-18.121,300,-72.399,-18.399,412,-72.768,-18.768,230,-72.875,-18.875,436,-72.875,-18.875,122,-72.879,-18.879,20,-73.116,-19.116,132,-73.246,-19.246,190,-73.3,-19.3,166,-73.378,-19.378,480,-73.553,-19.553,290,-73.762,-19.762,452,-73.923,-19.923,118,-73.976,-19.976,38,-74.05,-20.05
,,748,144.9583212,-37.80468413,318,-64.617,-2.617,450,-73.559,-11.559,326,-73.751,-11.751,372,-79.986,-17.986,496,-81.588,-19.588,428,-81.939,-19.939,452,-82.173,-20.173,100,-82.343,-20.343,52,-82.381,-20.381,268,-82.431,-20.431,74,-82.595,-20.595,480,-82.652,-20.652,10,-82.709,-20.709,106,-82.749,-20.749,50,-82.755,-20.755,114,-82.772,-20.772,80,-82.801,-20.801,18,-82.819,-20.819,246,-82.889,-20.889,446,-82.913,-20.913
