Site,Sitename,Cell,System,Status,Type,PCI_SC_BCCH_PN,BSIC,LON,LAT,Az,Ant_HBW,Ant_type,MDT,EDT,Ht,Obj_Size,Comment
3001,Geelong -V,10004,3G,On-Air,Non-IBS,316,0,144.355,-38.152,90,65,742215,0,4,30,150,
3001,Geelong -V,10005,3G,On-Air,Non-IBS,317,0,144.355,-38.152,220,65,742215,0,6,30,150,
3001,Geelong -V,10006,3G,On-Air,Non-IBS,318,0,144.355,-38.152,330,65,742215,0,6,30,150,
3002,Belmont -O,10024,3G,On-Air,IBS,304,0,144.299,-38.1752,90,65,742272,0,5,20,150,
3002,Belmont -O,10025,3G,On-Air,Non-IBS,305,0,144.299,-38.1752,150,65,742272,0,5,20,150,
3002,Belmont -O,10026,3G,On-Air,Non-IBS,306,0,144.299,-38.1752,345,65,742272,0,3,20,150,
3003,Whittington -O,10034,3G,On-Air,Non-IBS,322,0,144.382,-38.1686,0,65,742215,0,4,20,150,
3003,Whittington -O,10035,3G,On-Air,Non-IBS,323,0,144.382,-38.1686,120,65,742215,0,4,20,150,
3003,Whittington -O,10036,3G,On-Air,Non-IBS,324,0,144.382,-38.1686,240,65,742215,0,4,20,150,
3004,Grovedale North -O,10044,3G,On-Air,Non-IBS,310,0,144.341,-38.1778,20,65,742215,0,4,23,150,
3004,Grovedale North -O,10045,3G,On-Air,Non-IBS,311,0,144.341,-38.1778,120,65,742215,0,4,23,150,
3004,Grovedale North -O,10046,3G,On-Air,Non-IBS,312,0,144.341,-38.1778,240,65,742215,0,4,23,150,
3005,Highton -O,10064,3G,On-Air,Non-IBS,307,0,144.32,-38.1496,0,65,742213,0,2,24.5,150,
3005,Highton -O,10065,3G,On-Air,Non-IBS,308,0,144.32,-38.1496,120,65,742213,0,2,24.5,150,
3005,Highton -O,10066,3G,On-Air,Non-IBS,309,0,144.32,-38.1496,240,65,742213,0,2,24.5,150,
3006,Geelong West -O,10074,3G,On-Air,Non-IBS,319,0,144.349,-38.1358,0,65,742215,0,2,22.4,150,
3006,Geelong West -O,10075,3G,On-Air,Non-IBS,320,0,144.349,-38.1358,150,65,742215,0,2,22.4,150,
3006,Geelong West -O,10076,3G,On-Air,Non-IBS,321,0,144.349,-38.1358,240,65,742215,0,2,22.4,150,
3007,Breakwater North -O,10084,3G,On-Air,Non-IBS,313,0,144.351,-38.1647,0,65,742215,0,4,23,150,
3007,Breakwater North -O,10085,3G,On-Air,Non-IBS,314,0,144.351,-38.1647,120,65,742215,0,4,23,150,
3007,Breakwater North -O,10086,3G,On-Air,Non-IBS,315,0,144.351,-38.1647,240,65,742215,0,4,23,150,
3008,Grovedale South -O,10094,3G,On-Air,Non-IBS,301,0,144.316,-38.1955,30,65,742215,0,4,33.5,150,
3008,Grovedale South -O,10095,3G,On-Air,Non-IBS,302,0,144.316,-38.1955,150,65,742215,0,4,33.5,150,
3008,Grovedale South -O,10096,3G,On-Air,Non-IBS,303,0,144.316,-38.1955,250,65,742215,0,4,33.5,150,
3011,Heathmont -V,10124,3G,On-Air,Non-IBS,10,0,145.219,-37.8336,0,65,742215,0,4,19.57,150,
3011,Heathmont -V,10125,3G,On-Air,Non-IBS,11,0,145.219,-37.8336,90,65,742215,0,4,19.57,150,
3011,Heathmont -V,10126,3G,On-Air,Non-IBS,12,0,145.219,-37.8336,250,65,742215,0,4,19.57,150,
3013,Niddrie -V,10144,3G,On-Air,Non-IBS,397,0,144.877,-37.7338,30,65,742215,0,4,23.5,150,
3013,Niddrie -V,10145,3G,On-Air,Non-IBS,398,0,144.877,-37.7338,130,65,742215,0,4,23.5,150,
3013,Niddrie -V,10146,3G,On-Air,Non-IBS,399,0,144.877,-37.7338,270,65,742215,0,4,23.5,150,
3014,La Trobe University -V,10154,3G,On-Air,Non-IBS,400,0,145.053,-37.7207,120,65,742215,0,2,23,150,
3014,La Trobe University -V,10155,3G,On-Air,Non-IBS,401,0,145.053,-37.7207,250,65,742215,0,6,23,150,
3014,La Trobe University -V,10156,3G,On-Air,Non-IBS,402,0,145.053,-37.7207,350,65,742215,0,4,23,150,
3024,Ivanhoe -V,10274,3G,On-Air,Non-IBS,148,0,145.04,-37.7706,40,65,742215,0,4,21,150,
3024,Ivanhoe -V,10275,3G,On-Air,Non-IBS,149,0,145.04,-37.7706,160,65,742215,0,4,21,150,
3024,Ivanhoe -V,10276,3G,On-Air,Non-IBS,150,0,145.04,-37.7706,320,65,742215,0,4,21,150,
3031,Sunshine North            -V,10344,3G,On-Air,Non-IBS,376,0,144.818,-37.7631,50,65,742215,0,4,21.5,150,
3031,Sunshine North            -V,10345,3G,On-Air,Non-IBS,377,0,144.818,-37.7631,160,65,742215,0,4,21.5,150,
3031,Sunshine North            -V,10346,3G,On-Air,Non-IBS,378,0,144.818,-37.7631,290,65,742215,0,4,21.5,150,
3036,Wantirna North -V,10394,3G,On-Air,Non-IBS,280,0,145.196,-37.8611,40,65,742215,0,2,20.5,150,
3036,Wantirna North -V,10395,3G,On-Air,Non-IBS,281,0,145.196,-37.8611,170,65,742215,0,2,20.5,150,
3036,Wantirna North -V,10396,3G,On-Air,Non-IBS,282,0,145.196,-37.8611,290,65,742215,0,2,20.5,150,
3040,Keon Park    -V,10434,3G,On-Air,Non-IBS,226,0,145.012,-37.6922,90,65,742215,0,5,28,150,
3040,Keon Park    -V,10435,3G,On-Air,Non-IBS,227,0,145.012,-37.6922,240,65,742215,0,4,38,150,
3040,Keon Park    -V,10436,3G,On-Air,Non-IBS,228,0,145.012,-37.6922,330,65,742215,0,4,38,150,
3042,Greensborough  -V,10454,3G,On-Air,Non-IBS,382,0,145.103,-37.704,100,65,742215,0,4,27,150,
3042,Greensborough  -V,10455,3G,On-Air,Non-IBS,383,0,145.103,-37.704,220,65,742215,0,4,27,150,
3042,Greensborough  -V,10456,3G,On-Air,Non-IBS,384,0,145.103,-37.704,340,65,742215,0,6,27,150,
3045,Fawkner -V,10974,3G,On-Air,Non-IBS,232,0,144.957,-37.7001,100,65,742215,0,4,29,150,
3045,Fawkner -V,10975,3G,On-Air,Non-IBS,233,0,144.957,-37.7001,210,65,742215,0,4,29,150,
3045,Fawkner -V,10976,3G,On-Air,Non-IBS,234,0,144.957,-37.7001,320,65,742215,0,4,29,150,
3047,28 Clements Ave Bundoora -V,11034,3G,On-Air,Non-IBS,391,0,145.071,-37.7052,70,65,742215,0,6,26,150,
3047,28 Clements Ave Bundoora -V,11035,3G,On-Air,Non-IBS,392,0,145.071,-37.7052,220,65,742215,0,5,26,150,
3047,28 Clements Ave Bundoora -V,11036,3G,On-Air,Non-IBS,393,0,145.071,-37.7052,340,65,742215,0,4,40,150,
3052,Forest Hill Chase Shopping Centre -V,11204,3G,On-Air,Non-IBS,58,0,145.164,-37.8364,70,65,742215,0,4,42,150,
3052,Forest Hill Chase Shopping Centre -V,11205,3G,On-Air,Non-IBS,59,0,145.164,-37.8364,190,65,742215,0,4,42,150,
3052,Forest Hill Chase Shopping Centre -V,11206,3G,On-Air,Non-IBS,60,0,145.164,-37.8364,300,65,742215,0,4,42,150,
3062,Box Hill Central -V,11644,3G,On-Air,Non-IBS,31,0,145.123,-37.8196,0,65,742215,0,4,25,150,
3062,Box Hill Central -V,11645,3G,On-Air,Non-IBS,32,0,145.123,-37.8196,110,65,742215,0,4,25,150,
3062,Box Hill Central -V,11646,3G,On-Air,Non-IBS,33,0,145.123,-37.8196,220,65,742215,0,4,25,150,
3063,Kerrimuir -V,11674,3G,On-Air,Non-IBS,40,0,145.137,-37.8144,60,65,742215,0,2,24,150,
3063,Kerrimuir -V,11675,3G,On-Air,Non-IBS,41,0,145.137,-37.8144,180,65,742215,0,4,24,150,
3063,Kerrimuir -V,11676,3G,On-Air,Non-IBS,42,0,145.137,-37.8144,320,65,742215,0,2,24,150,
3064,Reservoir -V,11894,3G,On-Air,Non-IBS,208,0,145.005,-37.7252,0,65,742215,0,2,19.5,150,
3064,Reservoir -V,11895,3G,On-Air,Non-IBS,209,0,145.005,-37.7252,130,65,742215,0,5,19.5,150,
3064,Reservoir -V,11896,3G,On-Air,Non-IBS,210,0,145.005,-37.7252,240,65,742215,0,6,19.5,150,
3065,Thomastown West -V,12214,3G,On-Air,Non-IBS,235,0,144.987,-37.6929,60,65,742215,0,4,23,150,
3065,Thomastown West -V,12215,3G,On-Air,Non-IBS,236,0,144.987,-37.6929,160,65,742215,0,4,23,150,
3065,Thomastown West -V,12216,3G,On-Air,Non-IBS,237,0,144.987,-37.6929,300,65,742215,0,4,23,150,
3068,Keysborough -V,12244,3G,On-Air,Non-IBS,151,0,145.172,-37.9967,30,65,742215,0,2,18,150,
3068,Keysborough -V,12245,3G,On-Air,Non-IBS,152,0,145.172,-37.9967,150,65,742215,0,2,18,150,
3068,Keysborough -V,12246,3G,On-Air,Non-IBS,153,0,145.172,-37.9967,270,65,742215,0,2,18,150,
3070,Preston East -V,12264,3G,On-Air,Non-IBS,415,0,145.028,-37.7439,100,65,742215,0,4,30,150,
3070,Preston East -V,12265,3G,On-Air,Non-IBS,416,0,145.028,-37.7439,220,65,742215,0,4,30,150,
3070,Preston East -V,12266,3G,On-Air,Non-IBS,417,0,145.028,-37.7439,320,65,742215,0,5,30,150,
3071,Keilor East -V,12284,3G,On-Air,Non-IBS,382,0,144.841,-37.7257,70,65,742215,0,4,28.5,150,
3071,Keilor East -V,12285,3G,On-Air,Non-IBS,383,0,144.841,-37.7257,200,65,742215,0,2,28.5,150,
3071,Keilor East -V,12286,3G,On-Air,Non-IBS,384,0,144.841,-37.7257,300,65,742215,0,2,28.5,150,
3072,Kingsbury -V,12304,3G,On-Air,Non-IBS,418,0,145.03,-37.7271,70,65,742215,0,6,18,150,
3072,Kingsbury -V,12305,3G,On-Air,Non-IBS,419,0,145.03,-37.7271,210,65,742215,0,6,18,150,
3072,Kingsbury -V,12306,3G,On-Air,Non-IBS,420,0,145.03,-37.7271,310,65,742215,0,4,18,150,
3074,Mordialloc East -V,12374,3G,On-Air,Non-IBS,49,0,145.104,-37.9918,110,65,742215,0,4,28,150,
3074,Mordialloc East -V,12375,3G,On-Air,Non-IBS,50,0,145.104,-37.9918,250,65,742215,0,4,28,150,
3074,Mordialloc East -V,12376,3G,On-Air,Non-IBS,51,0,145.104,-37.9918,340,65,742215,0,4,28,150,
3077,Sunshine -V,12454,3G,On-Air,Non-IBS,280,0,144.84,-37.8004,90,65,742215,0,4,21,150,
3077,Sunshine -V,12455,3G,On-Air,Non-IBS,281,0,144.84,-37.8004,210,65,742215,0,4,21,150,
3077,Sunshine -V,12456,3G,On-Air,Non-IBS,282,0,144.84,-37.8004,330,65,742215,0,4,21,150,
3079,Preston West -V,12474,3G,On-Air,Non-IBS,214,0,144.989,-37.7383,90,65,742215,0,5,20,150,
3079,Preston West -V,12475,3G,On-Air,Non-IBS,215,0,144.989,-37.7383,210,65,742215,0,5,20,150,
3079,Preston West -V,12476,3G,On-Air,Non-IBS,216,0,144.989,-37.7383,350,65,742215,0,2,20,150,
3083,Surrey Hills -V,12514,3G,On-Air,Non-IBS,49,0,145.112,-37.8329,70,65,742215,0,4,30,150,
3083,Surrey Hills -V,12515,3G,On-Air,Non-IBS,50,0,145.112,-37.8329,200,65,742215,0,4,30,150,
3083,Surrey Hills -V,12516,3G,On-Air,Non-IBS,51,0,145.112,-37.8329,330,65,742215,0,4,30,150,
3084,Tullamarine (Mtx) -V,12524,3G,On-Air,Non-IBS,154,0,144.871,-37.6956,90,65,742215,0,4,30,150,
3084,Tullamarine (Mtx) -V,12525,3G,On-Air,Non-IBS,155,0,144.871,-37.6956,180,65,742215,0,4,30,150,
3084,Tullamarine (Mtx) -V,12526,3G,On-Air,Non-IBS,156,0,144.871,-37.6956,320,65,742215,0,4,30,150,
3085,Broadmeadows -V,12534,3G,On-Air,Non-IBS,82,0,144.918,-37.6843,0,65,742215,0,4,24,150,
3085,Broadmeadows -V,12535,3G,On-Air,Non-IBS,83,0,144.918,-37.6843,110,65,742215,0,4,20,150,
3085,Broadmeadows -V,12536,3G,On-Air,Non-IBS,84,0,144.918,-37.6843,260,65,742215,0,4,24,150,
3086,Mitcham -V,12544,3G,On-Air,Non-IBS,16,0,145.19,-37.8228,80,65,742215,0,4,22,150,
3086,Mitcham -V,12545,3G,On-Air,Non-IBS,17,0,145.19,-37.8228,190,65,742215,0,4,22,150,
3086,Mitcham -V,12546,3G,On-Air,Non-IBS,18,0,145.19,-37.8228,310,65,742215,0,4,22,150,
3087,Oakleigh -V,12554,3G,On-Air,Non-IBS,121,0,145.109,-37.9132,25,65,742215,0,2,31.5,150,
3087,Oakleigh -V,12555,3G,On-Air,Non-IBS,122,0,145.109,-37.9132,146,65,742215,0,2,31.5,150,
3087,Oakleigh -V,12556,3G,On-Air,Non-IBS,123,0,145.109,-37.9132,270,65,742215,0,4,31.5,150,
3089,Waverley Gardens -V,12574,3G,On-Air,Non-IBS,262,0,145.188,-37.9378,80,65,742215,0,4,24,150,
3089,Waverley Gardens -V,12575,3G,On-Air,Non-IBS,263,0,145.188,-37.9378,190,65,742215,0,4,24,150,
3089,Waverley Gardens -V,12576,3G,On-Air,Non-IBS,264,0,145.188,-37.9378,330,65,742215,0,4,24,150,
3090,Dandenong (Bts & Sdh Hub) -V,12594,3G,On-Air,Non-IBS,250,0,145.211,-37.988,90,65,742215,0,4,35.95,150,
3090,Dandenong (Bts & Sdh Hub) -V,12595,3G,On-Air,Non-IBS,251,0,145.211,-37.988,185,65,742215,0,4,35.95,150,
3090,Dandenong (Bts & Sdh Hub) -V,12596,3G,On-Air,Non-IBS,252,0,145.211,-37.988,330,65,742215,0,4,35.95,150,
3091,Dandenong TAFE -V,12604,3G,On-Air,Non-IBS,244,0,145.225,-37.964,100,65,742215,0,2,23,150,
3091,Dandenong TAFE -V,12605,3G,On-Air,Non-IBS,245,0,145.225,-37.964,210,65,742215,0,2,23,150,
3091,Dandenong TAFE -V,12606,3G,On-Air,Non-IBS,246,0,145.225,-37.964,330,65,742215,0,2,23,150,
3094,Glen Waverley -V,12714,3G,On-Air,Non-IBS,295,0,145.164,-37.8836,80,65,742215,0,0,24,150,
3094,Glen Waverley -V,12715,3G,On-Air,Non-IBS,296,0,145.164,-37.8836,190,65,742215,0,2,24,150,
3094,Glen Waverley -V,12716,3G,On-Air,Non-IBS,297,0,145.164,-37.8836,330,65,742215,0,2,26,150,
3100,Altona West -V,12824,3G,On-Air,Non-IBS,22,0,144.8,-37.8637,30,65,742215,0,6,30,150,
3100,Altona West -V,12825,3G,On-Air,Non-IBS,23,0,144.8,-37.8637,140,65,742215,0,6,30,150,
3100,Altona West -V,12826,3G,On-Air,Non-IBS,24,0,144.8,-37.8637,240,65,742215,0,6,30,150,
3102,Mulgrave -V,12944,3G,On-Air,Non-IBS,286,0,145.158,-37.9216,0,65,742215,0,4,29,150,
3102,Mulgrave -V,12945,3G,On-Air,Non-IBS,287,0,145.158,-37.9216,100,65,742215,0,4,31,150,
3102,Mulgrave -V,12946,3G,On-Air,Non-IBS,288,0,145.158,-37.9216,200,65,742215,0,4,31,150,
3103,Heidelberg Heights -V,12984,3G,On-Air,Non-IBS,406,0,145.053,-37.732,85,65,742215,0,4,25,150,
3103,Heidelberg Heights -V,12985,3G,On-Air,Non-IBS,407,0,145.053,-37.732,230,65,742215,0,5,25,150,
3103,Heidelberg Heights -V,12986,3G,On-Air,Non-IBS,408,0,145.053,-37.732,355,65,742215,0,6,25,150,
3105,Wantirna South -V,13014,3G,On-Air,Non-IBS,268,0,145.199,-37.879,30,65,742215,0,4,36.43,150,
3105,Wantirna South -V,13015,3G,On-Air,Non-IBS,269,0,145.199,-37.879,160,65,742215,0,2,36.43,150,
3105,Wantirna South -V,13016,3G,On-Air,Non-IBS,270,0,145.199,-37.879,265,65,742215,0,2,36.43,150,
3109,Sandown Park -V,13054,3G,On-Air,Non-IBS,136,0,145.158,-37.9575,90,65,742215,0,2,25,150,
3109,Sandown Park -V,13055,3G,On-Air,Non-IBS,137,0,145.158,-37.9575,200,65,742215,0,2,25,150,
3109,Sandown Park -V,13056,3G,On-Air,Non-IBS,138,0,145.158,-37.9575,310,65,742215,0,4,25,150,
3118,Clayton South -V,13134,3G,On-Air,Non-IBS,130,0,145.128,-37.949,20,65,742215,0,2,27,150,
3118,Clayton South -V,13135,3G,On-Air,Non-IBS,131,0,145.128,-37.949,120,65,742215,2,2,27,150,
3118,Clayton South -V,13136,3G,On-Air,Non-IBS,132,0,145.128,-37.949,200,65,742215,0,2,27,150,
3119,Monash -V,13144,3G,On-Air,Non-IBS,103,0,145.129,-37.9146,50,65,742215,0,4,45,150,
3119,Monash -V,13145,3G,On-Air,Non-IBS,104,0,145.129,-37.9146,180,65,742215,0,2,30,150,
3119,Monash -V,13146,3G,On-Air,Non-IBS,105,0,145.129,-37.9146,322,65,742215,0,4,30,150,
3120,Altona North -V,13154,3G,On-Air,Non-IBS,43,0,144.846,-37.8291,160,65,742215,0,4,20,150,
3120,Altona North -V,13155,3G,On-Air,Non-IBS,44,0,144.846,-37.8291,240,65,742215,0,4,20,150,
3120,Altona North -V,13156,3G,On-Air,Non-IBS,45,0,144.846,-37.8291,340,65,742215,0,4,20,150,
3121,Dallas -V,13164,3G,On-Air,Non-IBS,88,0,144.93,-37.6711,60,65,742215,0,4,26,150,
3121,Dallas -V,13165,3G,On-Air,Non-IBS,89,0,144.93,-37.6711,190,65,742215,0,4,26,150,
3121,Dallas -V,13166,3G,On-Air,Non-IBS,90,0,144.93,-37.6711,310,65,742215,0,4,26,150,
3125,Altona East -V,13204,3G,On-Air,Non-IBS,34,0,144.831,-37.8643,90,65,742215,0,3,18.5,150,
3125,Altona East -V,13205,3G,On-Air,Non-IBS,35,0,144.831,-37.8643,180,65,742215,0,3,18.5,150,
3125,Altona East -V,13206,3G,On-Air,Non-IBS,36,0,144.831,-37.8643,265,65,742215,0,3,18.5,150,
3126,Merlynston -V,13214,3G,On-Air,Non-IBS,205,0,144.961,-37.7272,70,65,742215,0,2,26,150,
3126,Merlynston -V,13215,3G,On-Air,Non-IBS,206,0,144.961,-37.7272,160,65,742215,0,6,26,150,
3126,Merlynston -V,13216,3G,On-Air,Non-IBS,207,0,144.961,-37.7272,330,65,742215,0,6,26,150,
3128,Glenroy -V,13234,3G,On-Air,Non-IBS,76,0,144.917,-37.706,90,65,742215,0,4,27,150,
3128,Glenroy -V,13235,3G,On-Air,Non-IBS,77,0,144.917,-37.706,220,65,742215,0,4,27,150,
3128,Glenroy -V,13236,3G,On-Air,Non-IBS,78,0,144.917,-37.706,340,65,742215,0,4,27,150,
3129,Bulleen North -V,13244,3G,On-Air,Non-IBS,133,0,145.081,-37.7624,40,65,742215,0,8,24,150,
3129,Bulleen North -V,13245,3G,On-Air,Non-IBS,134,0,145.081,-37.7624,160,65,742215,0,2,24,150,
3129,Bulleen North -V,13246,3G,On-Air,Non-IBS,135,0,145.081,-37.7624,300,65,742215,0,2,24,150,
3133,Vermont South  -V,13284,3G,On-Air,Non-IBS,43,0,145.165,-37.8491,110,65,742215,0,2,24.5,150,
3133,Vermont South  -V,13285,3G,On-Air,Non-IBS,44,0,145.165,-37.8491,230,65,742215,0,4,24.5,150,
3133,Vermont South  -V,13286,3G,On-Air,Non-IBS,45,0,145.165,-37.8491,350,65,742215,0,4,24.5,150,
3134,Doncaster East -V,13294,3G,On-Air,Non-IBS,310,0,145.171,-37.7921,50,65,742215,0,5,26,150,
3134,Doncaster East -V,13295,3G,On-Air,Non-IBS,311,0,145.171,-37.7921,130,65,742215,0,6,26,150,
3134,Doncaster East -V,13296,3G,On-Air,Non-IBS,312,0,145.171,-37.7921,210,65,742215,0,6,26,150,
3135,Blackburn -V,13304,3G,On-Air,Non-IBS,46,0,145.153,-37.82,60,65,742215,0,4,25.4,150,
3135,Blackburn -V,13305,3G,On-Air,Non-IBS,47,0,145.153,-37.82,185,65,742215,0,4,25.4,150,
3135,Blackburn -V,13306,3G,On-Air,Non-IBS,48,0,145.153,-37.82,270,65,742215,0,4,25.4,150,
3137,Burwood East -V,13324,3G,On-Air,Non-IBS,76,0,145.132,-37.8531,50,65,742215,0,4,35,150,
3137,Burwood East -V,13325,3G,On-Air,Non-IBS,77,0,145.132,-37.8531,200,65,742215,0,4,35,150,
3137,Burwood East -V,13326,3G,On-Air,Non-IBS,78,0,145.132,-37.8531,300,65,742215,0,4,35,150,
3140,Wheelers Hill  -V,13354,3G,On-Air,Non-IBS,274,0,145.188,-37.9108,40,65,742215,0,4,14.5,150,
3140,Wheelers Hill  -V,13355,3G,On-Air,Non-IBS,275,0,145.188,-37.9108,170,65,742215,0,2,14.5,150,
3140,Wheelers Hill  -V,13356,3G,On-Air,Non-IBS,276,0,145.188,-37.9108,290,65,742215,0,4,14.5,150,
3141,Ivanhoe -V,13364,3G,On-Air,Non-IBS,259,0,145.202,-37.9495,110,65,742215,0,2,21,150,
3141,Ivanhoe -V,13365,3G,On-Air,Non-IBS,260,0,145.202,-37.9495,200,65,742215,0,4,21,150,
