Host_Cell,Host_Sys,Nbr_Cell,Nbr_Sys
310628_0,3G_F1,314509_3,3G_F1
310628_0,3G_F1,312571_1,3G_F1
310628_0,3G_F1,312560_1,3G_F1
310628_0,3G_F1,312553_2,3G_F1
310628_0,3G_F1,312552_3,3G_F1
310628_0,3G_F1,311990_3,3G_F1
310628_0,3G_F1,311990_2,3G_F1
310628_0,3G_F1,311990_1,3G_F1
314789_2,3G_F1,312554_1,3G_F1
314789_2,3G_F1,318931_3,3G_F1
314789_1,3G_F1,318931_3,3G_F1
314789_1,3G_F1,318931_1,3G_F1
314789_2,3G_F1,318931_1,3G_F1
314789_3,3G_F1,312554_3,3G_F1
314789_3,3G_F1,318931_3,3G_F1
314789_3,3G_F1,312554_1,3G_F1
314789_2,3G_F1,314509_1,3G_F1
314789_2,3G_F1,314789_1,3G_F1
314789_1,3G_F1,314789_2,3G_F1
314789_1,3G_F1,314789_3,3G_F1
314789_3,3G_F1,314789_1,3G_F1
314789_1,3G_F1,311898_3,3G_F1
314789_1,3G_F1,312557_1,3G_F1
314789_1,3G_F1,312554_1,3G_F1
314789_2,3G_F1,312550_1,3G_F1
314789_3,3G_F1,312557_1,3G_F1
314789_3,3G_F1,314789_2,3G_F1
314789_2,3G_F1,314789_3,3G_F1
314789_3,3G_F1,318089_1,3G_F1
314789_2,3G_F1,311898_3,3G_F1
314789_2,3G_F1,318931_2,3G_F1
314789_2,3G_F1,312555_3,3G_F1
314789_3,3G_F1,312557_2,3G_F1
314789_2,3G_F1,312555_2,3G_F1
314789_1,3G_F1,312555_3,3G_F1
314789_3,3G_F1,311028_2,3G_F1
314789_2,3G_F1,311933_1,3G_F1
314789_2,3G_F1,312554_2,3G_F1
314789_1,3G_F1,312555_1,3G_F1
314789_2,3G_F1,312549_1,3G_F1
314789_3,3G_F1,318089_2,3G_F1
314789_3,3G_F1,312553_1,3G_F1
314789_3,3G_F1,312557_3,3G_F1
314789_3,3G_F1,311898_3,3G_F1
314789_2,3G_F1,312550_3,3G_F1
314789_1,3G_F1,312555_2,3G_F1
314789_3,3G_F1,312558_1,3G_F1
314789_1,3G_F1,312557_2,3G_F1
314789_1,3G_F1,312554_3,3G_F1
314789_3,3G_F1,318880_1,3G_F1
314789_3,3G_F1,312567_1,3G_F1
314789_3,3G_F1,315592_3,3G_F1
314789_3,3G_F1,315592_2,3G_F1
314789_3,3G_F1,312559_3,3G_F1
314789_1,3G_F1,311933_1,3G_F1
314789_1,3G_F1,311898_2,3G_F1
314789_3,3G_F1,312554_2,3G_F1
314789_3,3G_F1,311990_1,3G_F1
314789_3,3G_F1,312553_3,3G_F1
314789_1,3G_F1,311898_1,3G_F1
314789_1,3G_F1,314509_1,3G_F1
314789_2,3G_F1,312554_3,3G_F1
314789_2,3G_F1,312557_1,3G_F1
314789_1,3G_F1,311028_1,3G_F1
314789_2,3G_F1,312551_2,3G_F1
314789_3,3G_F1,318089_3,3G_F1
314789_3,3G_F1,311990_3,3G_F1
314789_1,3G_F1,312550_1,3G_F1
314789_2,3G_F1,312551_3,3G_F1
314789_3,3G_F1,312559_1,3G_F1
314789_1,3G_F1,312568_1,3G_F1
314789_2,3G_F1,312551_1,3G_F1
314789_2,3G_F1,312586_2,3G_F1
314789_3,3G_F1,312569_1,3G_F1
314789_3,3G_F1,312568_1,3G_F1
314789_1,3G_F1,318929_3,3G_F1
314789_2,3G_F1,318929_3,3G_F1
314789_2,3G_F1,318929_2,3G_F1
314789_1,3G_F1,318929_1,3G_F1
314789_3,3G_F1,318929_3,3G_F1
314789_2,3G_F1,318929_1,3G_F1
314789_3,3G_F1,312563_1,3G_F1
314789_3,3G_F1,312555_3,3G_F1
314789_3,3G_F1,312560_2,3G_F1
314789_3,3G_F1,312558_2,3G_F1
314789_3,3G_F1,312550_3,3G_F1
314789_1,3G_F1,311990_1,3G_F1
314789_3,3G_F1,318880_2,3G_F1
314789_1,3G_F1,318770_3,3G_F1
314789_3,3G_F1,318860_3,3G_F1
314789_1,3G_F1,312563_1,3G_F1
314789_3,3G_F1,315145_1,3G_F1
314789_2,3G_F1,312557_2,3G_F1
314789_1,3G_F1,315145_1,3G_F1
314789_2,3G_F1,312550_2,3G_F1
314789_2,3G_F1,312548_1,3G_F1
314789_3,3G_F1,312551_3,3G_F1
314789_3,3G_F1,318931_2,3G_F1
314789_3,3G_F1,315535_1,3G_F1
314789_2,3G_F1,318770_3,3G_F1
314789_1,3G_F1,318931_2,3G_F1
314789_3,3G_F1,312558_3,3G_F1
314513_2,3G_F1,312537_2,3G_F1
314513_3,3G_F1,312588_2,3G_F1
314513_2,3G_F1,314513_3,3G_F1
314513_3,3G_F1,314513_2,3G_F1
314513_3,3G_F1,312583_2,3G_F1
314513_1,3G_F1,312548_2,3G_F1
314513_3,3G_F1,312585_2,3G_F1
314513_3,3G_F1,312537_3,3G_F1
314513_2,3G_F1,318985_3,3G_F1
314513_3,3G_F1,312574_1,3G_F1
314513_2,3G_F1,312537_3,3G_F1
314513_3,3G_F1,312534_1,3G_F1
314513_1,3G_F1,318911_3,3G_F1
314513_3,3G_F1,312583_1,3G_F1
314513_3,3G_F1,312583_3,3G_F1
314513_1,3G_F1,318776_3,3G_F1
314513_2,3G_F1,314513_1,3G_F1
314513_1,3G_F1,314513_2,3G_F1
314513_1,3G_F1,312549_2,3G_F1
314513_2,3G_F1,312537_1,3G_F1
314513_3,3G_F1,318978_1,3G_F1
314513_3,3G_F1,312575_1,3G_F1
314513_1,3G_F1,312546_2,3G_F1
314513_3,3G_F1,315534_3,3G_F1
314513_1,3G_F1,314513_3,3G_F1
314513_3,3G_F1,314513_1,3G_F1
314513_3,3G_F1,318913_3,3G_F1
314513_3,3G_F1,312546_3,3G_F1
314513_3,3G_F1,317621_2,3G_F1
314513_3,3G_F1,318985_3,3G_F1
314513_3,3G_F1,312546_2,3G_F1
314513_2,3G_F1,312546_2,3G_F1
314513_1,3G_F1,312586_2,3G_F1
314513_2,3G_F1,310017_2,3G_F1
314513_1,3G_F1,318911_1,3G_F1
314513_1,3G_F1,318784_1,3G_F1
314513_3,3G_F1,312537_1,3G_F1
314513_3,3G_F1,318911_3,3G_F1
314513_2,3G_F1,318913_3,3G_F1
314513_2,3G_F1,312538_3,3G_F1
314513_2,3G_F1,312527_2,3G_F1
314513_3,3G_F1,315592_2,3G_F1
314513_1,3G_F1,318985_3,3G_F1
314513_3,3G_F1,318880_2,3G_F1
314513_1,3G_F1,312546_3,3G_F1
314513_1,3G_F1,312554_2,3G_F1
314513_2,3G_F1,310017_1,3G_F1
314513_3,3G_F1,312527_1,3G_F1
314513_1,3G_F1,312545_1,3G_F1
314513_1,3G_F1,312588_2,3G_F1
314513_3,3G_F1,318915_1,3G_F1
314513_2,3G_F1,318911_3,3G_F1
314513_3,3G_F1,318088_3,3G_F1
