These cols are required for the NL stats import. ,,,,,,,,,,
"=> the RNC_BSC and NCELL_RNC_BSC are optional, if they are included, their text is concatenated to the start of the cell ids",,,,,,,,,,
"=> the CELL, NCELL, LAYER, NCELL_LAYER are all required.",,,,,,,,,,
"=> the stats can be raw (in which case they will be converted to % of total atts per cell), or pre-processed (assumed to be already in the % atts of total cell atts).  Note: the atts can be mr reports or counter attempts or whatever.",,,,,,,,,,
"=> is nbr, action, nl_size_new, dist are optional, click use if you have the data => these are good to have as they will be shown in the review dialog",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RNC_BSC,CELL,LAYER,NCELL_RNC_BSC,NCELL,NCELL_LAYER,STATS,IS_NBR,ACTION,NL_SIZE_NEW,DIST_KM
,140145_1,LTE_F1,,140145_3,LTE_F1,6841,Y,,,7.001
,140145_3,LTE_F1,,140145_1,LTE_F1,8744,Y,,,3.386
,140145_2,LTE_F1,,141958_2,LTE_F1,4479,Y,,,3.023
,140145_1,LTE_F1,,146167_3,LTE_F1,4882,Y,,,5.063
,140145_1,LTE_F1,,140681_1,LTE_F1,8335,Y,,,9.191
,140145_2,LTE_F1,,146175_1,LTE_F1,77,Y,,,8.267
,140145_3,LTE_F1,,140145_2,LTE_F1,5803,Y,,,4.436
,140145_2,LTE_F1,,140145_3,LTE_F1,2411,Y,,,2.996
,140145_1,LTE_F1,,146148_3,LTE_F1,374,Y,,,8.732
,140145_2,LTE_F1,,140681_3,LTE_F1,5296,Y,,,3.11
,140145_1,LTE_F1,,140681_3,LTE_F1,9483,Y,,,1.789
,140145_1,LTE_F1,,140145_2,LTE_F1,76,Y,,,3.215
,140145_2,LTE_F1,,140145_1,LTE_F1,3516,Y,,,8.926
,140145_2,LTE_F1,,145790_1,LTE_F1,2049,Y,,,0.79
,140145_1,LTE_F1,,146175_1,LTE_F1,6029,Y,,,4.793
,140145_2,LTE_F1,,140671_2,LTE_F1,67,Y,,,2.255
,140145_3,LTE_F1,,141958_1,LTE_F1,7506,Y,,,9.542
,140145_3,LTE_F1,,141958_2,LTE_F1,802,Y,,,2.289
,140145_2,LTE_F1,,141022_2,LTE_F1,8459,Y,,,1.345
,140145_2,LTE_F1,,145232_1,LTE_F1,4259,Y,,,5.209
,140145_3,LTE_F1,,145790_3,LTE_F1,190,Y,,,7.685
,140145_2,LTE_F1,,141958_1,LTE_F1,4543,Y,,,1.893
,140145_3,LTE_F1,,149333_3,LTE_F1,9696,Y,,,8.863
,140145_2,LTE_F1,,140719_1,LTE_F1,665,Y,,,9.316
,140145_1,LTE_F1,,141958_1,LTE_F1,3322,Y,,,0.387
,140145_3,LTE_F1,,140698_3,LTE_F1,3872,Y,,,9.944
,140145_2,LTE_F1,,140681_2,LTE_F1,5058,Y,,,9.316
,140145_3,LTE_F1,,146148_3,LTE_F1,3335,Y,,,4.024
,140145_3,LTE_F1,,140681_3,LTE_F1,6521,Y,,,4.494
,140145_2,LTE_F1,,144469_2,LTE_F1,7369,Y,,,0.259
,140145_2,LTE_F1,,140796_1,LTE_F1,4250,Y,,,4.058
,140145_2,LTE_F1,,140754_3,LTE_F1,8587,Y,,,2.38
,140145_2,LTE_F1,,140702_2,LTE_F1,6075,Y,,,3.576
,140145_3,LTE_F1,,140800_3,LTE_F1,3619,Y,,,6.774
,140145_2,LTE_F1,,141038_1,LTE_F1,9192,Y,,,7.237
,140145_3,LTE_F1,,140645_3,LTE_F1,1658,Y,,,0.618
,140145_1,LTE_F1,,145790_1,LTE_F1,1079,Y,,,3.74
,140145_3,LTE_F1,,149333_2,LTE_F1,4719,Y,,,0.005
,140145_2,LTE_F1,,140798_1,LTE_F1,2840,Y,,,4.865
,140145_2,LTE_F1,,146153_2,LTE_F1,9567,Y,,,5.582
,140145_3,LTE_F1,,140648_2,LTE_F1,1790,Y,,,0.601
,140145_2,LTE_F1,,146151_2,LTE_F1,1135,Y,,,9.743
,140145_2,LTE_F1,,146175_2,LTE_F1,7698,Y,,,8.226
,140145_2,LTE_F1,,144684_3,LTE_F1,6498,Y,,,0.211
,140145_3,LTE_F1,,140947_3,LTE_F1,5796,Y,,,9.631
,140145_2,LTE_F1,,144468_2,LTE_F1,56,Y,,,3.026
,140145_2,LTE_F1,,140803_3,LTE_F1,8165,Y,,,2.436
,140145_2,LTE_F1,,145789_2,LTE_F1,7609,Y,,,4.657
,140145_2,LTE_F1,,140680_2,LTE_F1,6628,Y,,,4.964
,140145_1,LTE_F1,,145789_3,LTE_F1,8637,Y,,,9.356
,140145_2,LTE_F1,,140681_1,LTE_F1,6659,Y,,,1.301
,140145_2,LTE_F1,,140678_3,LTE_F1,9057,Y,,,4.274
,140145_3,LTE_F1,,144607_3,LTE_F1,5642,Y,,,2.721
,140145_3,LTE_F1,,140948_3,LTE_F1,1347,Y,,,8.968
,140145_3,LTE_F1,,145232_3,LTE_F1,869,Y,,,0.36
,140145_2,LTE_F1,,145789_3,LTE_F1,9602,Y,,,8.258
,140145_2,LTE_F1,,140803_1,LTE_F1,8852,Y,,,8.57
,140145_1,LTE_F1,,144684_3,LTE_F1,4770,Y,,,7.208
,140145_3,LTE_F1,,146175_1,LTE_F1,1557,Y,,,6.298
,140145_2,LTE_F1,,146167_3,LTE_F1,2926,Y,,,5.682
,140145_1,LTE_F1,,140665_3,LTE_F1,6977,Y,,,9.194
,140145_2,LTE_F1,,145790_3,LTE_F1,206,Y,,,7.798
,140145_3,LTE_F1,,140673_3,LTE_F1,8774,Y,,,2.06
,140145_3,LTE_F1,,149333_1,LTE_F1,2448,Y,,,0.738
,140145_2,LTE_F1,,146148_3,LTE_F1,546,Y,,,1.59
,140145_3,LTE_F1,,140748_3,LTE_F1,8856,Y,,,6.542
,140145_2,LTE_F1,,140748_3,LTE_F1,6744,Y,,,3.278
,140145_2,LTE_F1,,145232_3,LTE_F1,1831,Y,,,0.295
,140145_3,LTE_F1,,141958_3,LTE_F1,6216,Y,,,3.997
,140145_2,LTE_F1,,145274_2,LTE_F1,1618,Y,,,8.899
,140145_3,LTE_F1,,144467_3,LTE_F1,7794,Y,,,4.795
,140145_3,LTE_F1,,145789_3,LTE_F1,4337,Y,,,3.104
,140145_1,LTE_F1,,145232_3,LTE_F1,6045,Y,,,9.231
,140145_2,LTE_F1,,140796_2,LTE_F1,3005,Y,,,5.457
,140145_2,LTE_F1,,141038_2,LTE_F1,9831,Y,,,6.598
,140145_2,LTE_F1,,140673_3,LTE_F1,8170,Y,,,0.755
,140145_2,LTE_F1,,144684_2,LTE_F1,2882,Y,,,0.731
,140145_2,LTE_F1,,140665_3,LTE_F1,6421,Y,,,3.425
,140145_3,LTE_F1,,144713_2,LTE_F1,3432,Y,,,4.676
,140145_2,LTE_F1,,140673_2,LTE_F1,7272,Y,,,1.993
,140145_1,LTE_F1,,140678_1,LTE_F1,8690,Y,,,8.765
,140145_2,LTE_F1,,140678_2,LTE_F1,2927,Y,,,6.037
,140145_1,LTE_F1,,140748_3,LTE_F1,5838,Y,,,2.852
,140145_3,LTE_F1,,144684_3,LTE_F1,2745,Y,,,2.131
,140145_2,LTE_F1,,147608_2,LTE_F1,3310,Y,,,2.424
,140145_2,LTE_F1,,140693_1,LTE_F1,9094,Y,,,2.403
,140145_2,LTE_F1,,140754_2,LTE_F1,4092,Y,,,9.067
